Time (s),Channel 1 (V),Channel 2 (V)
-1.389308163265306237e-04,3.306125440487773126e+00,3.292669791116706435e+00
-1.389008163265305850e-04,3.313627644611742529e+00,3.288949974452963776e+00
-1.388708163265306005e-04,3.313627644611742529e+00,3.292669791116706435e+00
-1.388408163265306161e-04,3.309876542549758494e+00,3.300109424444185535e+00
-1.388108163265306316e-04,3.317378746673723455e+00,3.296389607780453090e+00
-1.387808163265305929e-04,3.321129848735717704e+00,3.303829241107934855e+00
-1.387508163265306084e-04,3.324880950797706181e+00,3.303829241107934855e+00
-1.387208163265306240e-04,3.321129848735721257e+00,3.300109424444195749e+00
-1.386908163265305853e-04,3.324880950797706181e+00,3.314988691099163276e+00
-1.386608163265306008e-04,3.313627644611742529e+00,3.300109424444192197e+00
-1.386308163265306164e-04,3.324880950797695967e+00,3.307549057771670853e+00
-1.386008163265306319e-04,3.324880950797706181e+00,3.296389607780459752e+00
-1.385708163265305932e-04,3.332383154921681356e+00,3.314988691099163276e+00
-1.385408163265306088e-04,3.287369930177827637e+00,3.270350891134250038e+00
-1.385108163265306243e-04,3.291121032239811672e+00,3.266631074470510931e+00
-1.384808163265305856e-04,3.309876542549754941e+00,3.292669791116706435e+00
-1.384508163265306012e-04,3.306125440487766465e+00,3.285230157789221117e+00
-1.384208163265306167e-04,3.298623236363797950e+00,3.277790524461742461e+00
-1.383908163265306322e-04,3.309876542549744727e+00,3.277790524461735799e+00
-1.383608163265305935e-04,3.294872134301802813e+00,3.270350891134250038e+00
-1.383308163265306091e-04,3.287369930177827637e+00,3.266631074470507379e+00
-1.383008163265306246e-04,3.291121032239811672e+00,3.270350891134246485e+00
-1.382708163265305859e-04,3.294872134301802813e+00,3.277790524461735799e+00
-1.382408163265306015e-04,3.294872134301802813e+00,3.266631074470507379e+00
-1.382108163265306170e-04,3.287369930177834298e+00,3.262911257806768273e+00
-1.381808163265306325e-04,3.272365521929890164e+00,3.251751807815546957e+00
-1.381508163265305939e-04,3.279867726053851573e+00,3.248031991151793640e+00
-1.381208163265306094e-04,3.268614419867887921e+00,3.262911257806764720e+00
-1.380908163265306249e-04,3.287369930177810762e+00,3.266631074470503826e+00
-1.380608163265305863e-04,3.291121032239815225e+00,3.259191441143022061e+00
-1.380308163265306018e-04,3.279867726053851573e+00,3.270350891134250038e+00
-1.380008163265306173e-04,3.272365521929883059e+00,3.255471624479292725e+00
-1.379708163265306329e-04,3.268614419867891474e+00,3.255471624479279402e+00
-1.379408163265305942e-04,3.272365521929876397e+00,3.248031991151793640e+00
-1.379108163265306097e-04,3.279867726053851573e+00,3.255471624479279402e+00
-1.378808163265306252e-04,3.264863317805914100e+00,3.255471624479279402e+00
-1.378508163265305866e-04,3.268614419867887921e+00,3.262911257806764720e+00
-1.378208163265306021e-04,3.272365521929876397e+00,3.277790524461735799e+00
-1.377908163265306176e-04,3.272365521929876397e+00,3.259191441143038936e+00
-1.377608163265306332e-04,3.272365521929876397e+00,3.248031991151803854e+00
-1.377308163265305945e-04,3.276116623991863985e+00,3.251751807815536743e+00
-1.377008163265306100e-04,3.268614419867887921e+00,3.262911257806764720e+00
-1.376708163265306256e-04,3.276116623991857324e+00,3.262911257806764720e+00
-1.376408163265305869e-04,3.276116623991863985e+00,3.244312174488050982e+00
-1.376108163265306024e-04,3.272365521929876397e+00,3.248031991151793640e+00
-1.375808163265306180e-04,3.264863317805906995e+00,3.259191441143011847e+00
-1.375508163265306335e-04,3.272365521929869736e+00,3.251751807815543405e+00
-1.375208163265305948e-04,3.279867726053851573e+00,3.255471624479279402e+00
-1.374908163265306103e-04,3.276116623991863985e+00,3.259191441143022061e+00
-1.374608163265306259e-04,3.272365521929879950e+00,3.255471624479282955e+00
-1.374308163265305872e-04,3.283618828115839161e+00,3.255471624479279402e+00
-1.374008163265306027e-04,3.287369930177827637e+00,3.259191441143022061e+00
-1.373708163265306183e-04,3.283618828115842714e+00,3.259191441143022061e+00
-1.373408163265306338e-04,3.279867726053855126e+00,3.270350891134239824e+00
-1.373108163265305951e-04,3.291121032239815225e+00,3.274070707797992696e+00
-1.372808163265306107e-04,3.298623236363791289e+00,3.285230157789221117e+00
-1.372508163265306262e-04,3.298623236363791289e+00,3.281510341125482011e+00
-1.372208163265305875e-04,3.298623236363791289e+00,3.285230157789221117e+00
-1.371908163265306031e-04,3.294872134301802813e+00,3.277790524461735799e+00
-1.371608163265306186e-04,3.291121032239818778e+00,3.281510341125474906e+00
-1.371308163265306341e-04,3.302374338425768663e+00,3.285230157789217564e+00
-1.371008163265305954e-04,3.298623236363791289e+00,3.281510341125478458e+00
-1.370708163265306110e-04,3.291121032239815225e+00,3.281510341125478458e+00
-1.370408163265306265e-04,3.302374338425768663e+00,3.277790524461739352e+00
-1.370108163265305878e-04,3.302374338425778877e+00,3.281510341125478458e+00
-1.369808163265306034e-04,3.309876542549754941e+00,3.292669791116706435e+00
-1.369508163265306189e-04,3.309876542549754941e+00,3.296389607780445985e+00
-1.369208163265306344e-04,3.309876542549754941e+00,3.292669791116709987e+00
-1.368908163265305958e-04,3.321129848735717704e+00,3.307549057771677514e+00
-1.368608163265306113e-04,3.317378746673730117e+00,3.296389607780449538e+00
-1.368308163265306268e-04,3.321129848735714152e+00,3.296389607780449538e+00
-1.368008163265305882e-04,3.317378746673730117e+00,3.296389607780449538e+00
-1.367708163265306037e-04,3.317378746673730117e+00,3.288949974452963776e+00
-1.367408163265306192e-04,3.276116623991901733e+00,3.262911257806788257e+00
-1.367108163265306348e-04,3.291121032239801458e+00,3.262911257806764720e+00
-1.366808163265305961e-04,3.291121032239815225e+00,3.274070707797992696e+00
-1.366508163265306116e-04,3.283618828115845822e+00,3.248031991151817177e+00
-1.366208163265306271e-04,3.291121032239808564e+00,3.262911257806751397e+00
-1.365908163265305885e-04,3.306125440487766465e+00,3.274070707797992696e+00
-1.365608163265306040e-04,3.291121032239815225e+00,3.266631074470507379e+00
-1.365308163265306195e-04,3.272365521929893273e+00,3.255471624479289616e+00
-1.365008163265306351e-04,3.276116623991860433e+00,3.262911257806758059e+00
-1.364708163265305964e-04,3.279867726053851573e+00,3.251751807815536743e+00
-1.364408163265306119e-04,3.279867726053851573e+00,3.255471624479275849e+00
-1.364108163265306275e-04,3.287369930177820976e+00,3.255471624479279402e+00
-1.363808163265305888e-04,3.276116623991863985e+00,3.262911257806764720e+00
-1.363508163265306043e-04,3.276116623991863985e+00,3.244312174488050982e+00
-1.363208163265306199e-04,3.272365521929879950e+00,3.240592357824311875e+00
-1.362908163265306354e-04,3.279867726053844912e+00,3.244312174488047429e+00
-1.362608163265305967e-04,3.272365521929876397e+00,3.240592357824308323e+00
-1.362308163265306122e-04,3.279867726053844912e+00,3.248031991151786979e+00
-1.362008163265306278e-04,3.276116623991867538e+00,3.251751807815533191e+00
-1.361708163265305891e-04,3.276116623991863985e+00,3.255471624479279402e+00
-1.361408163265306046e-04,3.264863317805900333e+00,3.244312174488050982e+00
-1.361108163265306202e-04,3.272365521929869736e+00,3.248031991151790088e+00
-1.360808163265306357e-04,3.264863317805906995e+00,3.248031991151793640e+00
-1.360508163265305970e-04,3.287369930177827637e+00,3.244312174488050982e+00
-1.360208163265306126e-04,3.276116623991874199e+00,3.251751807815530082e+00
-1.359908163265306281e-04,3.276116623991863985e+00,3.255471624479275849e+00
-1.359608163265305894e-04,3.268614419867887921e+00,3.244312174488050982e+00
-1.359308163265306050e-04,3.272365521929876397e+00,3.251751807815536743e+00
-1.359008163265306205e-04,3.264863317805906995e+00,3.244312174488057643e+00
-1.358708163265306360e-04,3.287369930177807209e+00,3.248031991151790088e+00
-1.358408163265305973e-04,3.279867726053851573e+00,3.255471624479279402e+00
-1.358108163265306129e-04,3.268614419867898135e+00,3.251751807815540296e+00
-1.357808163265306284e-04,3.257361113681934484e+00,3.244312174488057643e+00
-1.357508163265305897e-04,3.268614419867887921e+00,3.248031991151793640e+00
-1.357208163265306053e-04,3.272365521929876397e+00,3.255471624479279402e+00
-1.356908163265306208e-04,3.272365521929876397e+00,3.251751807815540296e+00
-1.356608163265306363e-04,3.272365521929876397e+00,3.248031991151797193e+00
-1.356308163265305977e-04,3.272365521929876397e+00,3.255471624479279402e+00
-1.356008163265306132e-04,3.276116623991860433e+00,3.255471624479279402e+00
-1.355708163265306287e-04,3.287369930177817423e+00,3.255471624479279402e+00
-1.355408163265305901e-04,3.283618828115839161e+00,3.259191441143022061e+00
-1.355108163265306056e-04,3.294872134301802813e+00,3.270350891134250038e+00
-1.354808163265306211e-04,3.302374338425772216e+00,3.274070707797989144e+00
-1.354508163265306367e-04,3.298623236363794842e+00,3.274070707797992696e+00
-1.354208163265305980e-04,3.302374338425778877e+00,3.277790524461735799e+00
-1.353908163265306135e-04,3.302374338425778877e+00,3.285230157789214456e+00
-1.353608163265306290e-04,3.302374338425778877e+00,3.277790524461742461e+00
-1.353308163265305904e-04,3.302374338425778877e+00,3.277790524461735799e+00
-1.353008163265306059e-04,3.294872134301802813e+00,3.281510341125478458e+00
